Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","AAA 1.5V","BatteryHolder_Keystone_2466_1xAAA",339.142000,-113.538000,0.000000,top
"BT2","AAA 1.5V","BatteryHolder_Keystone_2466_1xAAA",287.326000,-113.538000,0.000000,top
"BT3","AAA 1.5V","BatteryHolder_Keystone_2466_1xAAA",235.510000,-113.538000,0.000000,top
"C1","0.1uF","C_Disc_D5.0mm_W2.5mm_P2.50mm",195.306000,-105.918000,180.000000,top
"C2","0.1uF","C_Disc_D5.0mm_W2.5mm_P2.50mm",195.306000,-121.158000,180.000000,top
"C3","10uF","C_Disc_D5.0mm_W2.5mm_P2.50mm",201.442000,-114.808000,0.000000,top
"C4","47uF","C_Radial_D6.3mm_H7.0mm_P2.50mm",224.790000,-115.844000,-90.000000,top
"C5","0.1uF","C_Disc_D5.0mm_W2.5mm_P2.50mm",170.434000,-105.938000,-90.000000,top
"C6","0.1uF","C_Disc_D5.0mm_W2.5mm_P2.50mm",186.182000,-105.984000,-90.000000,top
"D1","LED","LED_D5.0mm",143.246000,-113.538000,0.000000,top
"D2","LED","LED_D5.0mm",131.821000,-113.538000,0.000000,top
"D3","LED","LED_D5.0mm",120.137000,-113.538000,0.000000,top
"D4","LED","LED_D5.0mm",108.199000,-113.538000,0.000000,top
"D5","LED","LED_D5.0mm",96.510000,-113.538000,0.000000,top
"D6","LED","LED_D5.0mm",84.826000,-113.538000,0.000000,top
"D7","LED","LED_D5.0mm",72.893000,-113.538000,0.000000,top
"D8","LED","LED_D5.0mm",61.209000,-113.538000,0.000000,top
"POT1","100k","Potentiometer_Vishay_T73YP_Vertical",210.895000,-110.744000,0.000000,top
"POT2","100k","Potentiometer_Vishay_T73YP_Vertical",210.895000,-121.397000,0.000000,top
"R1","100","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",150.871000,-106.680000,180.000000,top
"R2","100","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",139.446000,-120.396000,180.000000,top
"R3","100","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",127.757000,-106.680000,180.000000,top
"R4","100","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",115.819000,-120.396000,180.000000,top
"R5","100","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",104.130000,-106.680000,180.000000,top
"R6","100","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",92.451000,-120.396000,180.000000,top
"R7","100","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",80.513000,-106.680000,180.000000,top
"R8","100","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",68.829000,-120.396000,180.000000,top
"SW1","SW_SPDT","JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical",220.258000,-108.666000,0.000000,top
"U1","LMC555CN","DIP-8_W7.62mm",190.256000,-109.738000,0.000000,top
"U2","SN74HC393N","DIP-14_W7.62mm",174.762000,-105.913000,0.000000,top
"U3","CD74HC138E","DIP-16_W7.62mm",159.014000,-104.663000,0.000000,top
